"","vendors","id","price","size","cost_per_size"
"1","Save-On-Foods",98621,35.13,23.78,1.48
"2","Galleria",26835,43.47,940.31,0.05
"3","Walmart",38541,6.32,550.45,0.01
"4","T&T",34731,49.24,186.62,0.26
"5","Galleria",66440,8.76,979.76,0.01
"6","Walmart",8028,13.81,260.69,0.05
"7","Voila",26901,6.64,615.58,0.01
"8","T&T",95727,34.03,86.78,0.39
"9","Walmart",14866,16.28,400.42,0.04
"10","Voila",82243,17.22,591.27,0.03
"11","Metro",5310,46.79,412.64,0.11
"12","Loblaws",64291,42.21,701.6,0.06
"13","Walmart",14693,17.82,824.13,0.02
"14","Voila",249,43.48,932.84,0.05
"15","Metro",68858,25.23,476.93,0.05
"16","Walmart",87403,15.15,672.15,0.02
"17","Loblaws",58288,11.88,405.21,0.03
"18","Loblaws",91427,27.09,427.29,0.06
"19","Loblaws",69365,13.22,413.37,0.03
"20","Voila",55220,0.56,80.9,0.01
"21","T&T",59532,29.29,429.5,0.07
"22","Metro",42943,2.09,964.27,0
"23","Walmart",86207,6.36,508.37,0.01
"24","Galleria",22795,22.29,753.67,0.03
"25","Loblaws",84355,3.37,607.01,0.01
"26","Loblaws",77788,25.84,171.96,0.15
"27","Save-On-Foods",96642,0.14,960.27,0
"28","No Frills",19763,26.69,221.33,0.12
"29","T&T",2114,43.34,688.34,0.06
"30","Loblaws",43355,15.8,182.28,0.09
"31","Voila",4638,16.25,990.92,0.02
"32","No Frills",8939,11.92,22.81,0.52
"33","T&T",58569,23.49,199.86,0.12
"34","Voila",15297,45.78,491.11,0.09
"35","Voila",34370,30.34,200.36,0.15
"36","Loblaws",55930,1.5,974.27,0
"37","Loblaws",52971,9.32,410.96,0.02
"38","Voila",77426,30.24,614.79,0.05
"39","No Frills",35448,43.43,813.66,0.05
"40","Walmart",14000,31.37,779.34,0.04
"41","No Frills",90838,27.79,258.23,0.11
"42","Voila",11529,18.23,970.89,0.02
"43","T&T",3301,4,841.27,0
"44","T&T",82955,1,188.78,0.01
"45","Metro",50702,2.32,519.61,0
"46","Metro",9226,45.7,765.46,0.06
"47","T&T",50885,26.78,844.73,0.03
"48","Voila",60294,19.69,523.2,0.04
"49","T&T",64145,5.75,550.51,0.01
"50","Galleria",71229,39.95,763.74,0.05
"51","Voila",33250,38.62,908.57,0.04
"52","T&T",61506,46.04,890.53,0.05
"53","Metro",1935,28.59,171.53,0.17
"54","Voila",73088,17.09,598.08,0.03
"55","T&T",62625,4.76,394.52,0.01
"56","Loblaws",94243,4.79,722.58,0.01
"57","Walmart",79651,14.75,754.99,0.02
"58","Voila",71577,13.07,729.05,0.02
"59","Galleria",62273,14.56,903.57,0.02
"60","Loblaws",17622,26.03,760.72,0.03
"61","Loblaws",91966,21.64,384.25,0.06
"62","T&T",44652,25.21,456.7,0.06
"63","No Frills",30907,29.2,328.73,0.09
"64","Galleria",32378,36.62,381.19,0.1
"65","Loblaws",11328,13.03,612.52,0.02
"66","Voila",9877,30.81,271.26,0.11
"67","No Frills",20167,6.55,938.8,0.01
"68","Loblaws",8044,49.36,745.75,0.07
"69","Voila",50989,29.47,843.88,0.03
"70","Metro",75294,47.47,627.5,0.08
"71","Loblaws",32132,38.81,168.55,0.23
"72","Voila",88397,5.95,893.67,0.01
"73","No Frills",73570,46.29,397.83,0.12
"74","Galleria",65702,21.51,631.99,0.03
"75","Galleria",71431,28.93,659.58,0.04
"76","T&T",80178,9.74,681.42,0.01
"77","T&T",75505,28.68,457.07,0.06
"78","Save-On-Foods",34290,18.34,975.84,0.02
"79","Voila",18789,11.4,361.39,0.03
"80","No Frills",92244,10.58,294.22,0.04
"81","Loblaws",57072,13.05,274.93,0.05
"82","Loblaws",15698,22.76,572.35,0.04
"83","Loblaws",5145,9.96,322.09,0.03
"84","Metro",11278,0.48,399.78,0
"85","No Frills",25338,17.01,641.92,0.03
"86","T&T",96572,10.04,939.8,0.01
"87","Walmart",71531,17.68,239.77,0.07
"88","T&T",58855,14.93,731.55,0.02
"89","Galleria",29959,31.46,902.02,0.03
"90","T&T",31551,25.27,199.24,0.13
"91","No Frills",30434,32.33,749.55,0.04
"92","T&T",36919,1,604.64,0
"93","Walmart",40707,46.47,777.2,0.06
"94","No Frills",97254,38.75,990.1,0.04
"95","Galleria",58907,42.89,42.35,1.01
"96","Save-On-Foods",63841,11.89,359.38,0.03
"97","Loblaws",92800,14.35,995.03,0.01
"98","Save-On-Foods",13832,36.56,374.41,0.1
"99","Galleria",26569,4.42,262.2,0.02
"100","Walmart",34709,5.76,557.07,0.01
"101","Save-On-Foods",42720,46.48,699.74,0.07
"102","Loblaws",70447,33.04,510.43,0.06
"103","No Frills",22006,4.49,761.96,0.01
"104","Save-On-Foods",45063,23.84,273.16,0.09
"105","T&T",68937,18.03,925.7,0.02
"106","Walmart",13878,25.01,504.47,0.05
"107","Save-On-Foods",35268,4.12,657.18,0.01
"108","T&T",76076,16.26,367.3,0.04
"109","Walmart",98765,1.78,447.24,0
"110","Save-On-Foods",43354,30.85,402.34,0.08
"111","No Frills",40411,17.73,872.48,0.02
"112","Loblaws",46642,33.62,662.04,0.05
"113","Galleria",20531,46.11,147.48,0.31
"114","Save-On-Foods",66076,30.6,448.82,0.07
"115","No Frills",26080,8.21,743.31,0.01
"116","Voila",73321,29.84,266.45,0.11
"117","Metro",223,1.13,520.39,0
"118","Voila",67076,38.82,568.87,0.07
"119","Save-On-Foods",42599,12.01,673.78,0.02
"120","Metro",8407,35.52,559.4,0.06
"121","Voila",54451,1.32,998.84,0
"122","Save-On-Foods",85998,6.61,900.79,0.01
"123","Loblaws",15028,42.31,697.73,0.06
"124","T&T",10311,0.62,132.41,0
"125","T&T",56341,3.39,419.62,0.01
"126","Save-On-Foods",88282,31.02,486.87,0.06
"127","Loblaws",46254,29.65,293.48,0.1
"128","Loblaws",20899,45.5,599.64,0.08
"129","No Frills",24508,13.08,573.09,0.02
"130","Loblaws",87417,35.38,375.06,0.09
"131","Galleria",50588,25.46,753.59,0.03
"132","T&T",16281,42.05,801.53,0.05
"133","Voila",92354,10.19,830.54,0.01
"134","T&T",58116,44.4,10.69,4.15
"135","Loblaws",66289,8.58,123.54,0.07
"136","Metro",44175,34.03,447.17,0.08
"137","Walmart",9512,42.73,54.97,0.78
"138","Walmart",99848,49.64,525.73,0.09
"139","Galleria",62964,40.14,675.14,0.06
"140","T&T",24873,14.95,408.65,0.04
"141","Galleria",28714,36.94,346.77,0.11
"142","Loblaws",22124,48.45,99.2,0.49
"143","Loblaws",56027,49.13,496.52,0.1
"144","No Frills",8307,37.37,189,0.2
"145","Loblaws",73500,45.92,948.13,0.05
"146","Loblaws",80400,43.14,145.62,0.3
"147","Save-On-Foods",33851,16.41,29.79,0.55
"148","Save-On-Foods",39622,39.24,421.73,0.09
"149","Galleria",88625,33.17,931.22,0.04
"150","Voila",8234,10.91,39.01,0.28
"151","Walmart",3511,30.94,793.62,0.04
"152","Loblaws",99238,39.24,231.17,0.17
